2022-04-17 01:28:26,148 INFO    MainThread:2640837 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-17 01:28:31,182 INFO    MainThread:2640837 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-17 01:28:31,187 INFO    MainThread:2640837 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-17 01:28:31,187 INFO    MainThread:2640837 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-17 01:28:48,426 INFO    MainThread:2640837 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-17 01:28:48,430 INFO    MainThread:2640837 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-17 01:28:48,430 INFO    MainThread:2640837 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-17 01:28:51,375 INFO    MainThread:2640837 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-17 01:28:51,382 INFO    MainThread:2640837 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-17 01:28:51,382 INFO    MainThread:2640837 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-17 01:28:57,278 INFO    MainThread:2640837 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-17 01:28:57,286 INFO    MainThread:2640837 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-17 01:28:57,286 INFO    MainThread:2640837 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-17 01:29:07,699 INFO    MainThread:2640837 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-17 01:29:07,703 INFO    MainThread:2640837 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-17 01:29:07,703 INFO    MainThread:2640837 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-17 01:29:43,691 INFO    MainThread:2640837 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-17 01:29:43,697 INFO    MainThread:2640837 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-17 01:29:43,697 INFO    MainThread:2640837 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-17 01:29:48,876 INFO    MainThread:2640837 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-17 01:29:48,882 INFO    MainThread:2640837 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-17 01:29:48,882 INFO    MainThread:2640837 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-17 01:30:04,921 INFO    MainThread:2640837 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-17 01:30:04,934 INFO    MainThread:2640837 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-17 01:30:04,934 INFO    MainThread:2640837 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-17 01:30:14,759 INFO    MainThread:2640837 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-17 01:30:14,765 INFO    MainThread:2640837 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-17 01:30:14,766 INFO    MainThread:2640837 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-17 01:30:31,147 INFO    MainThread:2640837 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-17 01:30:31,149 INFO    MainThread:2640837 [wandb_init.py:_pause_backend():318] pausing backend
2022-04-17 01:30:31,150 INFO    MainThread:2640837 [jupyter.py:save_ipynb():374] not saving jupyter notebook
2022-04-17 01:30:50,488 INFO    MainThread:2640837 [wandb_init.py:_resume_backend():327] resuming backend
2022-04-17 01:30:50,493 INFO    MainThread:2640837 [wandb_init.py:_pause_backend():318] pausing backend
